text_id,caption,new_text_id,new_caption
Word-1000005823,"只是现在我觉得""完美受害人""这个词,在某些教ㄉ弦丫淮蟠罄挠昧",1000005823,受害人 蟠罄 弦丫 
Word-1000037500,<人名>见专家解读android开发学习方法 - 嵌入式软件,1000037500,嵌入式软件 专家解读android 学习方法 
Word-1000017547,"<人名>   王勃六岁出口成章,<人名>七岁口占一绝,杨炯十岁神童",1000017547,神童 杨炯十 成章 
Word-1000014845,"不过,有分析人士指出,增持虽然表明支持态度,但金额方面杯水车薪.",1000014845,支持态度 分析人士 金额方面杯水车薪 
Word-1000013132,2021同德特发城市更新出售-深圳市金诚房地产有限公司,1000013132,深圳市金诚房地产有限公司 城市更新 
Word-1000019845,"我们人类发出声音的时候是通过声带振动,然后与身体中的肺部,胸腔",1000019845,声带振动 肺部 胸腔 
Word-1000041420,"六.""青年文明号""的标识及其含义",1000041420,青年文明号 标识 含义 
Word-1000013990,"核审 | <人名>排版 | <人名>未经授权禁止转载,侵权必究!",1000013990,侵权 核审 
Word-1000034127,"只有良好的精密夹具,才能保证加工产品的精度要求.",1000034127,精密夹具 加工产品 精度 
Word-1000032082,"上市的大连万达商业地产股份有限公司的股东主要由四部分构成,分别是",1000032082,大连万达商业地产股份有限公司 股东 
Word-1000029897,非常6 1小不点大能耐20170626期有什么值得期待的内容,1000029897,内容 
Word-1000030645,家家爽通用加厚加长扫把拖把杆单杆伸缩杆超轻替换包邮新款铁杆,1000030645,杆单杆 新款铁杆 爽通用 
Word-1000007864,优惠完售价不到宝马x5一半新款凯迪拉克xt6是不是更值得买,1000007864,宝马x5 售价 
Word-1000035092,"因为去发射场工作不能带家属,所以<人名>数个月都没有见到于途,而于",1000035092,发射场工作 家属 于途 
Word-1000011964,"下面,就为您带来今天的残奥晚报,重温残奥赛场的精彩瞬间.",1000011964,残奥晚报 残奥赛场 
Word-1000007663,"语 文 语文老师们的板书大多走的是端正风雅的路线,但也有许多童心",1000007663,童心 板书 语文老师们 
Word-1000045639,"这些高档香烟赢得了市场的认可,被当作福建特色销往全国各地.",1000045639,高档香烟 福建特色 认可 
